PARK,SIZE (ACRES),SIZE (KM^2),CATEGORY,BOROUGH,LAND AREA (KM^2),BOROUGH POPULATION,MURDER,RAPE,ROBBERY,FELONY ASSAULT,BURGLARY,GRAND LARCENY,GRAND LARCENY OF MOTOR VEHICLE,TOTAL
PULASKI PLAYGROUND,1.416,0.005732794,ONE ACRE OR LARGER,BROOKLYN     ,183.4,2736074,0,0,0,0,0,0,0,0
BILDERSEE PLAYGROUND,1.416,0.005732794,ONE ACRE OR LARGER,BROOKLYN     ,183.4,2736074,0,0,0,0,0,0,0,0
MACDONALD PARK,1.415,0.005728745,ONE ACRE OR LARGER,QUEENS       ,280,2405464,0,0,0,0,0,0,0,0
OWEN F. DOLEN PARK,1.4,0.005668016,ONE ACRE OR LARGER,BRONX        ,110,142654,0,0,0,0,0,0,0,0
VAN DYKE PLAYGROUND,1.398,0.005659919,ONE ACRE OR LARGER,BROOKLYN     ,183.4,2736074,0,0,0,0,0,0,0,0
WILLIAMSBRIDGE SQUARE,1.395,0.005647773,ONE ACRE OR LARGER,BRONX        ,110,142654,0,0,0,0,0,0,0,0
PEOPLE'S PARK,1.394,0.005643725,ONE ACRE OR LARGER,BRONX        ,110,142654,0,0,0,0,0,0,0,0
DOME PLAYGROUND,1.385,0.005607287,ONE ACRE OR LARGER,BROOKLYN     ,183.4,2736074,0,0,0,0,0,0,0,0
RUSSELL PEDERSEN PLAYGROUND,1.384,0.005603239,ONE ACRE OR LARGER,BROOKLYN     ,183.4,2736074,0,0,0,0,0,0,0,0
ST. CATHERINE'S PARK,1.383,0.00559919,ONE ACRE OR LARGER,MANHATTAN    ,59.1,1694251,0,0,0,0,0,1,0,1
HOWARD VON DOHLEN PLAYGROUND,1.381,0.005591093,ONE ACRE OR LARGER,QUEENS       ,280,2405464,0,0,2,2,0,0,0,4
HAVEN AVENUE,1.38,0.005587045,ONE ACRE OR LARGER,MANHATTAN    ,59.1,1694251,0,0,0,0,0,0,0,0
NAUTILUS PLAYGROUND BROOKLYN,1.38,0.005587045,ONE ACRE OR LARGER,BROOKLYN     ,183.4,2736074,0,0,0,0,0,0,0,0
ARCILLA PLAYGROUND,1.377,0.005574899,ONE ACRE OR LARGER,BRONX        ,110,142654,0,0,0,1,0,0,0,1
LIEUTENANT JOHN H. MARTINSON PLAYGROUND,1.375,0.005566802,ONE ACRE OR LARGER,STATEN ISLAND,152,495747,0,0,0,0,0,0,0,0
FOUNTAIN OF YOUTH PLAYGROUND,1.375,0.005566802,ONE ACRE OR LARGER,BRONX        ,110,142654,0,0,0,0,0,0,0,0
MARTINEZ PLAYGROUND,1.373,0.005558704,ONE ACRE OR LARGER,BROOKLYN     ,183.4,2736074,0,0,0,0,0,0,0,0
HILLSIDE PARK BROOKLYN,1.371,0.005550607,ONE ACRE OR LARGER,BROOKLYN     ,183.4,2736074,0,0,0,0,0,0,0,0
PLAYGROUND ONE FORTY,1.37,0.005546559,ONE ACRE OR LARGER,QUEENS       ,280,2405464,0,0,0,0,0,0,0,0
LT. LIA PLAYGROUND,1.37,0.005546559,ONE ACRE OR LARGER,STATEN ISLAND,152,495747,0,0,0,0,0,0,0,0
CRACK IS WACK PLAYGROUND,1.369,0.00554251,ONE ACRE OR LARGER,MANHATTAN    ,59.1,1694251,0,0,0,0,0,0,0,0
CASTLE HILL PLAYGROUND,1.368,0.005538462,ONE ACRE OR LARGER,BRONX        ,110,142654,0,1,0,0,0,0,0,1
ADAM YAUCH PARK,1.363,0.005518219,ONE ACRE OR LARGER,BROOKLYN     ,183.4,2736074,0,0,0,0,0,0,0,0
HOPE BALLFIELD,1.363,0.005518219,ONE ACRE OR LARGER,BROOKLYN     ,183.4,2736074,0,0,0,0,0,0,0,0
DR. RONALD MCNAIR PARK,1.361,0.005510121,ONE ACRE OR LARGER,BROOKLYN     ,183.4,2736074,0,0,0,0,0,0,0,0
ADMIRAL FARRAGUT PLAYGROUND,1.359,0.005502024,ONE ACRE OR LARGER,BRONX        ,110,142654,0,0,0,0,0,0,0,0
MCDONALD PLAYGROUND STATEN ISLAND,1.352,0.005473684,ONE ACRE OR LARGER,STATEN ISLAND,152,495747,0,0,0,0,0,0,0,0
UNNAMED PARK ON VANDALIA AVENUE,1.351,0.005469636,ONE ACRE OR LARGER,BROOKLYN     ,183.4,2736074,0,0,0,0,0,0,0,0
FRESH MEADOWS PLAYGROUND,1.35,0.005465587,ONE ACRE OR LARGER,QUEENS       ,280,2405464,0,0,0,0,0,0,0,0
PLAYGROUND EIGHTY LXXX,1.35,0.005465587,ONE ACRE OR LARGER,QUEENS       ,280,2405464,0,0,0,0,0,0,0,0
PRINTER'S PARK,1.341,0.00542915,ONE ACRE OR LARGER,BRONX        ,110,142654,0,0,0,0,0,0,0,0
RENAISSANCE PLAYGROUND,1.34,0.005425101,ONE ACRE OR LARGER,MANHATTAN    ,59.1,1694251,0,0,0,0,0,0,0,0
CLASSON PLAYGROUND AT CLASSON AVENUE & LAFAYETTE AVENUE,1.336,0.005408907,ONE ACRE OR LARGER,BROOKLYN     ,183.4,2736074,0,0,0,0,0,1,0,1
REMSEN PLAYGROUND,1.333,0.005396761,ONE ACRE OR LARGER,BROOKLYN     ,183.4,2736074,0,0,1,0,0,0,0,1
MARC AND JASON'S PLAYGROUND,1.326,0.005368421,ONE ACRE OR LARGER,BROOKLYN     ,183.4,2736074,0,0,0,0,0,0,0,0
VETERANS PARK STATEN ISLAND,1.324,0.005360324,ONE ACRE OR LARGER,STATEN ISLAND,152,495747,0,0,0,1,0,0,0,1
LYONS SQUARE PLAYGROUND,1.322,0.005352227,ONE ACRE OR LARGER,BRONX        ,110,142654,0,0,0,1,0,0,0,1
AGNES HAYWOOD PLAYGROUND,1.32,0.00534413,ONE ACRE OR LARGER,BRONX        ,110,142654,0,0,1,0,0,0,0,1
MARION HOPKINSON PLAYGROUND,1.32,0.00534413,ONE ACRE OR LARGER,BROOKLYN     ,183.4,2736074,0,0,1,1,0,0,0,2
